test,parser,wall_time,peak_rss,branch_misses,cache_misses,cache_references,instructions,cpu_cycles
nfl.csv,zcsv (zig),720us,819KB,16.2K,854,25.2K,2.57M,1.26M
nfl.csv,zsc (c),1.73ms,1.79MB,22.5K,7.94K,52.2K,14.8M,4.00M
nfl.csv,lazycsv (cpp),2.04ms,4.71MB,47.3K,19.7K,110K,15.2M,4.69M
nfl.csv,simd-csv (rust),1.55ms,2.22MB,28.8K,8.98K,56.0K,9.21M,2.72M
nfl.csv,csv (rust),2.23ms,2.13MB,29.2K,8.83K,59.3K,22.2M,5.65M
worldcitiespop.csv,zcsv (zig),745us,819KB,21.8K,664,18.0K,2.53M,1.43M
worldcitiespop.csv,zsc (c),1.58ms,1.79MB,23.8K,7.62K,42.5K,13.4M,3.57M
worldcitiespop.csv,lazycsv (cpp),2.20ms,4.40MB,78.7K,19.3K,97.2K,12.3M,5.41M
worldcitiespop.csv,simd-csv (rust),1.61ms,2.22MB,25.9K,8.80K,45.2K,11.6M,3.20M
worldcitiespop.csv,csv (rust),2.36ms,2.13MB,58.7K,8.67K,47.7K,19.5M,6.19M
mbta-stop-times.csv,zcsv (zig),734us,818KB,4.39K,576,14.4K,5.84M,1.45M
mbta-stop-times.csv,zsc (c),1.59ms,1.79MB,10.4K,7.47K,37.1K,13.5M,3.64M
mbta-stop-times.csv,lazycsv (cpp),1.69ms,4.12MB,31.5K,19.1K,89.5K,10.1M,3.30M
mbta-stop-times.csv,simd-csv (rust),1.71ms,2.22MB,11.7K,8.93K,41.0K,13.1M,3.62M
mbta-stop-times.csv,csv (rust),1.80ms,2.14MB,18.6K,8.69K,41.7K,14.7M,4.14M
game.csv,zcsv (zig),2.77ms,822KB,353,1.37K,46.5K,34.9M,8.63M
game.csv,zsc (c),6.38ms,1.74MB,3.86K,9.21K,80.2K,90.5M,21.7M
game.csv,lazycsv (cpp),2.97ms,5.94MB,15.8K,20.8K,149K,35.8M,8.14M
game.csv,simd-csv (rust),6.74ms,2.21MB,7.90K,9.49K,87.7K,97.1M,22.2M
game.csv,csv (rust),5.76ms,2.09MB,5.84K,9.33K,91.9K,79.3M,18.7M
"XS Mix Quotes, 12 col, 0-32 chars",zcsv (zig),314us,823KB,92.3,237,914,4.98K,9.03K
"XS Mix Quotes, 12 col, 0-32 chars",zsc (c),545us,1.70MB,3.04K,6.08K,17.3K,140K,204K
"XS Mix Quotes, 12 col, 0-32 chars",lazycsv (cpp),1.12ms,3.56MB,14.9K,18.1K,66.0K,2.57M,1.30M
"XS Mix Quotes, 12 col, 0-32 chars",simd-csv (rust),710us,2.23MB,4.42K,8.14K,24.1K,316K,306K
"XS Mix Quotes, 12 col, 0-32 chars",csv (rust),743us,2.17MB,4.67K,7.90K,23.4K,573K,360K
"XS No Quotes, 52 col, 0-256 chars",zcsv (zig),468us,823KB,298,408,7.46K,216K,80.9K
"XS No Quotes, 52 col, 0-256 chars",zsc (c),752us,1.82MB,6.04K,6.93K,26.8K,1.41M,650K
"XS No Quotes, 52 col, 0-256 chars",lazycsv (cpp),1.29ms,3.75MB,17.6K,20.1K,77.5K,5.34M,1.90M
"XS No Quotes, 52 col, 0-256 chars",simd-csv (rust),839us,2.23MB,7.87K,8.53K,38.5K,802K,504K
"XS No Quotes, 52 col, 0-256 chars",csv (rust),1.01ms,2.17MB,7.62K,8.61K,36.7K,4.15M,1.19M
"M Mix Quotes, 12 col, 0-32 chars",zcsv (zig),80.1ms,817KB,6.88M,50.4K,1.83M,326M,285M
"M Mix Quotes, 12 col, 0-32 chars",zsc (c),130ms,1.73MB,10.1M,97.7K,2.38M,1.07G,498M
"M Mix Quotes, 12 col, 0-32 chars",lazycsv (cpp),127ms,110MB,11.3M,102K,3.49M,979M,497M
"M Mix Quotes, 12 col, 0-32 chars",simd-csv (rust),125ms,2.16MB,9.08M,50.7K,2.60M,857M,449M
"M Mix Quotes, 12 col, 0-32 chars",csv (rust),183ms,2.07MB,12.3M,53.1K,2.96M,1.55G,717M
"M No Quotes, 52 col, 0-256 chars",zcsv (zig),6.70ms,823KB,242K,13.8K,573K,21.2M,13.6M
"M No Quotes, 52 col, 0-256 chars",zsc (c),14.6ms,1.74MB,258K,32.1K,763K,127M,43.1M
"M No Quotes, 52 col, 0-256 chars",lazycsv (cpp),18.9ms,36.9MB,293K,65.9K,1.16M,277M,65.9M
"M No Quotes, 52 col, 0-256 chars",simd-csv (rust),10.7ms,2.22MB,324K,25.2K,1.42M,49.0M,19.2M
"M No Quotes, 52 col, 0-256 chars",csv (rust),23.9ms,2.08MB,283K,21.9K,978K,353M,80.4M
"XL Mix Quotes, 2 col, 0-12 chars, many rows",zcsv (zig),570ms,823KB,46.2M,304K,12.4M,2.94G,2.07G
"XL Mix Quotes, 2 col, 0-12 chars, many rows",zsc (c),1.44s,1.74MB,59.4M,594K,16.4M,17.8G,5.76G
"XL Mix Quotes, 2 col, 0-12 chars, many rows",lazycsv (cpp),1.24s,733MB,122M,572K,23.7M,8.66G,5.07G
"XL Mix Quotes, 2 col, 0-12 chars, many rows",simd-csv (rust),1.57s,2.17MB,63.3M,195K,15.2M,18.4G,6.06G
"XL Mix Quotes, 2 col, 0-12 chars, many rows",csv (rust),2.10s,2.06MB,142M,266K,19.6M,19.9G,8.52G
"XL Mix Quotes, 12 col, 0-32 chars",zcsv (zig),7.75s,823KB,688M,4.33M,180M,32.6G,28.5G
"XL Mix Quotes, 12 col, 0-32 chars",zsc (c),12.7s,1.80MB,1.01G,8.07M,225M,107G,49.7G
"XL Mix Quotes, 12 col, 0-32 chars",lazycsv (cpp),12.1s,10.6GB,1.13G,8.50M,341M,97.7G,49.5G
"XL Mix Quotes, 12 col, 0-32 chars",simd-csv (rust),12.1s,2.24MB,906M,4.11M,252M,85.7G,44.6G
"XL Mix Quotes, 12 col, 0-32 chars",csv (rust),17.7s,2.16MB,1.22G,3.27M,260M,155G,70.5G
"XL No Quotes, 52 col, 0-256 chars",zcsv (zig),595ms,819KB,24.1M,1.32M,56.6M,2.12G,1.35G
"XL No Quotes, 52 col, 0-256 chars",zsc (c),1.30s,1.70MB,25.2M,2.26M,70.4M,12.7G,4.25G
"XL No Quotes, 52 col, 0-256 chars",lazycsv (cpp),1.62s,3.36GB,27.7M,4.83M,109M,27.4G,6.30G
"XL No Quotes, 52 col, 0-256 chars",simd-csv (rust),908ms,2.09MB,31.5M,1.63M,138M,4.87G,1.86G
"XL No Quotes, 52 col, 0-256 chars",csv (rust),2.20s,2.21MB,27.9M,1.50M,109M,35.3G,7.95G
